Fund Name,Tier,Latest Deal,Portfolio,Retail ROI,Focus Area
HashKey Capital,1,"Spot Zero
$4.50M
25 Mar 2025",260,1.71x,"#
Perpetuals
+6"
The Spartan Group,1,"Spot Zero
$4.50M
25 Mar 2025",223,7.90x,"#
Developer Tools
+6"
Galaxy,1,"Chronicle
$12.00M
25 Mar 2025",127,445.13x,"#
Payments
+6"
Stani Kulechov,1,"Chronicle
$12.00M
25 Mar 2025",63,2.79x,"#
NFT elements
+6"
Coinbase Ventures,1,"Rain
$24.50M
24 Mar 2025",423,3.16x,"#
Payments
+6"
Andreessen Horowi...,1,"Walrus
$140.00M
20 Mar 2025",174,333.36x,"#
Developer Tools
+6"
VanEck,1,"Manifest Finance
$2.50M
20 Mar 2025",12,1.45x,"#
Data Service
+6"
DragonFly Capital,1,"Hibachi
$5.00M
19 Mar 2025",165,5.92x,"#
Developer Tools
+6"
Balaji Srinivasan,1,"Pluralis Research
$7.60M
19 Mar 2025",146,3.48x,"#
Artificial Intell...
+6"
Paradigm,1,"Privy
$15.00M
19 Mar 2025",100,640.55x,"#
Developer Tools
+6"
Sequoia Capital,1,"Privy
$15.00M
19 Mar 2025",73,0.97x,"#
API
+6"
YZi Labs (Prev. B...,1,"Opinion Labs
$5.00M
18 Mar 2025",260,3.05x,"#
DEX
+6"
Santiago R. Santo...,1,"Yeet
$7.75M
18 Mar 2025",75,1.35x,"#
DePIN
+6"
Bryan Pellegrino,1,"Yeet
$7.75M
18 Mar 2025",13,0.37x,"#
Card Games
+6"
ConsenSys,1,"Mesh
$82.00M
11 Mar 2025",68,2.91x,"#
LSDfi
+6"
Multicoin Capital,1,"DoubleZero
$28.00M
06 Mar 2025",147,165.85x,"#
DePIN
+6"
BlackRock,1,"Flowdesk
$52.00M
04 Mar 2025",6,1.45x,"#
Payments
+4"
Raj Gokal,1,"Raise
$63.00M
26 Feb 2025",25,0.08x,"#
Payments
+6"
Pantera Capital,1,"Ethena
$100.00M
24 Feb 2025",214,102.04x,"#
LSDfi
+6"
Paul Veradittakit,1,"fomo
$2.00M
18 Feb 2025",13,0.01x,"#
DEX
+6"
Vitalik Buterin,1,"Etherealize
N/A
23 Jan 2025",11,,"#
Layer 2 (L2)
+6"
Circle,1,"Hashnote
N/A
21 Jan 2025",99,4.28x,"#
Lending
+6"
Blockchain Capita...,1,"Merit Systems
$10.00M
16 Jan 2025",127,8.01x,"#
Restaking
+6"
Alex Svanevik,1,"Uranium Digital
$1.70M
12 Dec 2024",21,0.02x,"#
NFT elements
+6"
Y Combinator,1,"Notabene
$14.50M
12 Nov 2024",67,0.83x,"#
Payments
+6"
Arthur Hayes,1,"Cytonic
$8.30M
07 Nov 2024",18,0.28x,"#
NFT elements
+6"
Quantstamp,2,"Bloctopus
$1.00M
01 Apr 2025",31,0.39x,"#
Security
+6"
Amber Group,2,"Ambient
$7.20M
31 Mar 2025",93,0.77x,"#
Artificial Intell...
+6"
Greenfield Capita...,2,"Warlock
$8.00M
27 Mar 2025",39,0.37x,"#
Quest Platform
+6"
Tether,2,"Be Water
$10.80M
27 Mar 2025",14,0.26x,"#
Payments
+6"
P2 Ventures (Poly...,2,"Capx AI
$3.14M
26 Mar 2025",147,0.28x,"#
Artificial Intell...
+6"
MH Ventures,2,"Capx AI
$3.14M
26 Mar 2025",127,0.85x,"#
Artificial Intell...
+6"
Fenbushi Capital,2,"Chronicle
$12.00M
25 Mar 2025",150,0.42x,"#
Developer Tools
+6"
Robot Ventures,2,"Chronicle
$12.00M
25 Mar 2025",137,0.61x,"#
DEX
+6"
IVC,2,"Spot Zero
$4.50M
25 Mar 2025",113,0.44x,"#
LSDfi
+6"
6th Man Ventures,2,"Chronicle
$12.00M
25 Mar 2025",76,1.26x,"#
Developer Tools
+6"
Immutable,2,"Immortal Rising 2
$3.00M
25 Mar 2025",10,0.72x,"#
NFT elements
+6"
Hypersphere Ventu...,2,"Fragmetric
$5.00M
24 Mar 2025",94,0.96x,"#
Artificial Intell...
+6"
Lightspeed Ventur...,2,"Rain
$24.50M
24 Mar 2025",63,3.68x,"#
Data Service
+6"
RockawayX,2,"Fragmetric
$5.00M
24 Mar 2025",47,74.23x,"#
DePIN
+6"
Alliance DAO,2,"Guess.best
$350.00K
21 Mar 2025",72,0.54x,"#
Bitcoin Scaling
+6"
Framework Venture...,2,"Uranium Digital
$6.10M
20 Mar 2025",123,9.12x,"#
DePIN
+6"
Mirana Ventures,2,"Uranium Digital
$6.10M
20 Mar 2025",109,1.08x,"#
Layer 2 (L2)
+6"
Electric Capital,2,"Walrus
$140.00M
20 Mar 2025",91,442.05x,"#
DEX
+6"
Standard Crypto,2,"Walrus
$140.00M
20 Mar 2025",26,33.40x,"#
Social Network
+6"
Stellar Developme...,2,"COCA
N/A
20 Mar 2025",15,,"#
Payments
+6"
CoinFund,2,"Pluralis Research
$7.60M
19 Mar 2025",110,25.42x,"#
Artificial Intell...
+6"
Variant,2,"Pluralis Research
$7.60M
19 Mar 2025",59,69.34x,"#
Artificial Intell...
+6"
Union Square Vent...,2,"Pluralis Research
$7.60M
19 Mar 2025",46,829.54x,"#
Developer Tools
+6"
Ribbit Capital,2,"Privy
$15.00M
19 Mar 2025",42,1.45x,"#
Payments
+6"
Animoca Brands,2,"Opinion Labs
$5.00M
18 Mar 2025",433,1.40x,"#
NFT elements
+6"
CMT Digital,2,"Daisy
$3.90M
18 Mar 2025",118,408.94x,"#
LSDfi
+6"
Paul Taylor,2,"Level (Peregrine Exploration)
$2.60M
18 Mar 2025",41,0.54x,"#
Restaking
+6"
Digital Currency ...,2,"Slingshot
$16.00M
17 Mar 2025",238,170.95x,"#
Artificial Intell...
+6"
Sfermion,2,"Slingshot
$16.00M
17 Mar 2025",95,0.44x,"#
NFT elements
+6"
KuCoin Labs,2,"Domin Network
N/A
17 Mar 2025",73,0.13x,"#
NFT elements
+6"
OKX Ventures,2,"PlaysOut
$7.00M
14 Mar 2025",211,0.42x,"#
Yield Farming
+6"
Kenetic Capital,2,"PlaysOut
$7.00M
14 Mar 2025",136,99.05x,"#
Data Service
+6"
Accel,2,"RedotPay
$40.00M
14 Mar 2025",35,31.92x,"#
Mobile
+6"
HongShan (ex-Sequ...,2,"RedotPay
$40.00M
14 Mar 2025",21,1.14x,"#
Payments
+6"
GSR,2,"M10
$3.00M
12 Mar 2025",176,0.32x,"#
DePIN
+6"
Jane Street Capit...,2,"Vest Exchange
$5.00M
12 Mar 2025",20,1.01x,"#
DEX
+6"
MGX,2,"Binance
$2.00B
12 Mar 2025",1,,"#
CEX"
Arrington XRP Cap...,2,"Axelar
$30.00M
11 Mar 2025",140,1.08x,"#
Data Service
+6"
Republic,2,"Sogni AI
$2.00M
11 Mar 2025",74,3.41x,"#
NFT elements
+6"
Distributed Globa...,2,"Axelar
$30.00M
11 Mar 2025",60,32.56x,"#
Cross-Chain
+6"
Slow Ventures,2,"Rakurai
$3.00M
11 Mar 2025",51,180.11x,"#
Privacy
+6"
C² Ventures,2,"Axelar
$30.00M
11 Mar 2025",45,0.27x,"#
CEX
+6"
1kx,2,"Seismic
$7.00M
06 Mar 2025",94,1.15x,"#
Developer Tools
+6"
Maven 11 Capital,2,"August
$10.00M
06 Mar 2025",80,301.58x,"#
Developer Tools
+6"
Wintermute,2,"DoubleZero
$28.00M
06 Mar 2025",77,0.99x,"#
DEX
+6"
Boost VC,2,"Sati
$600.00K
05 Mar 2025",39,1139.70x,"#
NFT elements
+6"
Ripple,2,"NCA (National Cryptocurrency Association)
$50.00M
05 Mar 2025",21,2.32x,"#
CEX
+6"
Mask Network,2,"Coral Finance
$3.00M
04 Mar 2025",72,0.66x,"#
Data Service
+6"
KuCoin Ventures,2,"Coral Finance
$3.00M
04 Mar 2025",54,0.42x,"#
Artificial Intell...
+6"
IOSG Ventures,2,"FanTV
$5.50M
28 Feb 2025",122,0.94x,"#
Artificial Intell...
+6"
Hack VC,2,"Acki Nacki
$6.00M
28 Feb 2025",96,2.75x,"#
Layer 1 (L1)
+6"
Blockchain.com,2,"Acki Nacki
$6.00M
28 Feb 2025",35,9.10x,"#
Decentralized App...
+6"
a16z speedrun,2,"Boinkers
$8.00M
28 Feb 2025",2,,"#
Play to Earn (P2E...
+1"
Ethereum Foundati...,2,"Orochi Network
N/A
27 Feb 2025",19,1.08x,"#
Account Abstracti...
+6"
BNB Chain,2,"Orochi Network
N/A
27 Feb 2025",9,0.04x,"#
Staking
+6"
Web3 Foundation,2,"Orochi Network
N/A
27 Feb 2025",7,,"#
zk-Proofs (ZKP)
+6"
MEXC,2,"Ethena USDe
$20.00M
26 Feb 2025",67,0.13x,"#
DEX
+6"
Nascent,2,"Ligero
$4.00M
26 Feb 2025",64,2.36x,"#
Developer Tools
+6"
MEXC Ventures,2,"Ethena
$16.00M
26 Feb 2025",9,0.08x,"#
Restaking
+6"
ParaFi Capital,2,"Bitwise
$70.00M
25 Feb 2025",107,3.75x,"#
RWA
+6"
Highland Capital ...,2,"Bitwise
$70.00M
25 Feb 2025",5,,"#
Data Service
+5"
Shima Capital,2,"IMUA (Prev. Exocore)
N/A
24 Feb 2025",262,0.38x,"#
Play to Earn (P2E...
+6"
Draper Dragon,2,"IMUA (Prev. Exocore)
$5.00M
24 Feb 2025",57,0.37x,"#
Bitcoin Scaling
+6"
SamsungNext,2,"Primus Labs (prev. PADO)
$6.50M
21 Feb 2025",61,10.08x,"#
Artificial Intell...
+6"
Alchemy,2,"Primus Labs (prev. PADO)
$6.50M
21 Feb 2025",53,0.84x,"#
API
+6"
Avalanche Foundat...,2,"KnidosLabs
N/A
21 Feb 2025",21,0.09x,"#
NFT elements
+6"
CMS Holdings,2,"Hedgemony
N/A
18 Feb 2025",189,7.14x,"#
Bitcoin Scaling
+6"
GV Google Venture...,2,"Blockaid
$50.00M
18 Feb 2025",19,0.48x,"#
Payments
+6"
eGirl Capital,2,"Cygnus Finance
$20.00M
18 Feb 2025",14,,"#
Governance
+6"
Solana Ventures,2,"BitRobot
$6.00M
14 Feb 2025",140,0.53x,"#
DePIN
+6"
Delphi Ventures,1,"Ambient
$7.20M
31 Mar 2025",160,161.10x,"#
Artificial Intell...
+6"
a16z CSX,1,"Mahojin
N/A
31 Mar 2025",34,,"#
Artificial Intell...
+6"
Polychain Capital,1,"Warlock
$8.00M
27 Mar 2025",206,15.42x,"#
Stablecoin Protoc...
+6"
Sandeep Nailwal,1,"Capx AI
$3.14M
26 Mar 2025",129,0.37x,"#
Artificial Intell...
+6"
HashKey Capital,1,"Spot Zero
$4.50M
25 Mar 2025",260,1.71x,"#
Perpetuals
+6"
The Spartan Group,1,"Spot Zero
$4.50M
25 Mar 2025",223,7.90x,"#
Developer Tools
+6"
Galaxy,1,"Chronicle
$12.00M
25 Mar 2025",127,445.13x,"#
Payments
+6"
Stani Kulechov,1,"Chronicle
$12.00M
25 Mar 2025",63,2.79x,"#
NFT elements
+6"
Coinbase Ventures,1,"Rain
$24.50M
24 Mar 2025",423,3.16x,"#
Payments
+6"
Andreessen Horowi...,1,"Walrus
$140.00M
20 Mar 2025",174,333.36x,"#
Developer Tools
+6"
VanEck,1,"Manifest Finance
$2.50M
20 Mar 2025",12,1.45x,"#
Data Service
+6"
DragonFly Capital,1,"Hibachi
$5.00M
19 Mar 2025",165,5.92x,"#
Developer Tools
+6"
Balaji Srinivasan,1,"Pluralis Research
$7.60M
19 Mar 2025",146,3.48x,"#
Artificial Intell...
+6"
Paradigm,1,"Privy
$15.00M
19 Mar 2025",100,640.55x,"#
Developer Tools
+6"
Sequoia Capital,1,"Privy
$15.00M
19 Mar 2025",73,0.97x,"#
API
+6"
YZi Labs (Prev. B...,1,"Opinion Labs
$5.00M
18 Mar 2025",260,3.05x,"#
DEX
+6"
Santiago R. Santo...,1,"Yeet
$7.75M
18 Mar 2025",75,1.35x,"#
DePIN
+6"
Bryan Pellegrino,1,"Yeet
$7.75M
18 Mar 2025",13,0.37x,"#
Card Games
+6"
ConsenSys,1,"Mesh
$82.00M
11 Mar 2025",68,2.91x,"#
LSDfi
+6"
Multicoin Capital,1,"DoubleZero
$28.00M
06 Mar 2025",147,165.85x,"#
DePIN
+6"
BlackRock,1,"Flowdesk
$52.00M
04 Mar 2025",6,1.45x,"#
Payments
+4"
Raj Gokal,1,"Raise
$63.00M
26 Feb 2025",25,0.08x,"#
Payments
+6"
Pantera Capital,1,"Ethena
$100.00M
24 Feb 2025",214,102.04x,"#
LSDfi
+6"
Paul Veradittakit,1,"fomo
$2.00M
18 Feb 2025",13,0.01x,"#
DEX
+6"
Vitalik Buterin,1,"Etherealize
N/A
23 Jan 2025",11,,"#
Layer 2 (L2)
+6"
Circle,1,"Hashnote
N/A
21 Jan 2025",99,4.28x,"#
Lending
+6"
Blockchain Capita...,1,"Merit Systems
$10.00M
16 Jan 2025",127,8.01x,"#
Restaking
+6"
Alex Svanevik,1,"Uranium Digital
$1.70M
12 Dec 2024",21,0.02x,"#
NFT elements
+6"
Y Combinator,1,"Notabene
$14.50M
12 Nov 2024",67,0.83x,"#
Payments
+6"
Arthur Hayes,1,"Cytonic
$8.30M
07 Nov 2024",18,0.28x,"#
NFT elements
+6"
Quantstamp,2,"Bloctopus
$1.00M
01 Apr 2025",31,0.39x,"#
Security
+6"
Amber Group,2,"Ambient
$7.20M
31 Mar 2025",93,0.77x,"#
Artificial Intell...
+6"
Greenfield Capita...,2,"Warlock
$8.00M
27 Mar 2025",39,0.37x,"#
Quest Platform
+6"
Tether,2,"Be Water
$10.80M
27 Mar 2025",14,0.26x,"#
Payments
+6"
P2 Ventures (Poly...,2,"Capx AI
$3.14M
26 Mar 2025",147,0.28x,"#
Artificial Intell...
+6"
MH Ventures,2,"Capx AI
$3.14M
26 Mar 2025",127,0.85x,"#
Artificial Intell...
+6"
Fenbushi Capital,2,"Chronicle
$12.00M
25 Mar 2025",150,0.42x,"#
Developer Tools
+6"
Robot Ventures,2,"Chronicle
$12.00M
25 Mar 2025",137,0.61x,"#
DEX
+6"
IVC,2,"Spot Zero
$4.50M
25 Mar 2025",113,0.44x,"#
LSDfi
+6"
6th Man Ventures,2,"Chronicle
$12.00M
25 Mar 2025",76,1.26x,"#
Developer Tools
+6"
Immutable,2,"Immortal Rising 2
$3.00M
25 Mar 2025",10,0.72x,"#
NFT elements
+6"
Hypersphere Ventu...,2,"Fragmetric
$5.00M
24 Mar 2025",94,0.96x,"#
Artificial Intell...
+6"
Lightspeed Ventur...,2,"Rain
$24.50M
24 Mar 2025",63,3.68x,"#
Data Service
+6"
RockawayX,2,"Fragmetric
$5.00M
24 Mar 2025",47,74.23x,"#
DePIN
+6"
Alliance DAO,2,"Guess.best
$350.00K
21 Mar 2025",72,0.54x,"#
Bitcoin Scaling
+6"
Framework Venture...,2,"Uranium Digital
$6.10M
20 Mar 2025",123,9.12x,"#
DePIN
+6"
Mirana Ventures,2,"Uranium Digital
$6.10M
20 Mar 2025",109,1.08x,"#
Layer 2 (L2)
+6"
Electric Capital,2,"Walrus
$140.00M
20 Mar 2025",91,442.05x,"#
DEX
+6"
Standard Crypto,2,"Walrus
$140.00M
20 Mar 2025",26,33.40x,"#
Social Network
+6"
Stellar Developme...,2,"COCA
N/A
20 Mar 2025",15,,"#
Payments
+6"
CoinFund,2,"Pluralis Research
$7.60M
19 Mar 2025",110,25.42x,"#
Artificial Intell...
+6"
Variant,2,"Pluralis Research
$7.60M
19 Mar 2025",59,69.34x,"#
Artificial Intell...
+6"
Union Square Vent...,2,"Pluralis Research
$7.60M
19 Mar 2025",46,829.54x,"#
Developer Tools
+6"
Ribbit Capital,2,"Privy
$15.00M
19 Mar 2025",42,1.45x,"#
Payments
+6"
Animoca Brands,2,"Opinion Labs
$5.00M
18 Mar 2025",433,1.40x,"#
NFT elements
+6"
CMT Digital,2,"Daisy
$3.90M
18 Mar 2025",118,408.94x,"#
LSDfi
+6"
Paul Taylor,2,"Level (Peregrine Exploration)
$2.60M
18 Mar 2025",41,0.54x,"#
Restaking
+6"
Digital Currency ...,2,"Slingshot
$16.00M
17 Mar 2025",238,170.95x,"#
Artificial Intell...
+6"
Sfermion,2,"Slingshot
$16.00M
17 Mar 2025",95,0.44x,"#
NFT elements
+6"
KuCoin Labs,2,"Domin Network
N/A
17 Mar 2025",73,0.13x,"#
NFT elements
+6"
OKX Ventures,2,"PlaysOut
$7.00M
14 Mar 2025",211,0.42x,"#
Yield Farming
+6"
Kenetic Capital,2,"PlaysOut
$7.00M
14 Mar 2025",136,99.05x,"#
Data Service
+6"
Accel,2,"RedotPay
$40.00M
14 Mar 2025",35,31.92x,"#
Mobile
+6"
HongShan (ex-Sequ...,2,"RedotPay
$40.00M
14 Mar 2025",21,1.14x,"#
Payments
+6"
GSR,2,"M10
$3.00M
12 Mar 2025",176,0.32x,"#
DePIN
+6"
Jane Street Capit...,2,"Vest Exchange
$5.00M
12 Mar 2025",20,1.01x,"#
DEX
+6"
MGX,2,"Binance
$2.00B
12 Mar 2025",1,,"#
CEX"
Arrington XRP Cap...,2,"Axelar
$30.00M
11 Mar 2025",140,1.08x,"#
Data Service
+6"
Republic,2,"Sogni AI
$2.00M
11 Mar 2025",74,3.41x,"#
NFT elements
+6"
Distributed Globa...,2,"Axelar
$30.00M
11 Mar 2025",60,32.56x,"#
Cross-Chain
+6"
Slow Ventures,2,"Rakurai
$3.00M
11 Mar 2025",51,180.11x,"#
Privacy
+6"
C² Ventures,2,"Axelar
$30.00M
11 Mar 2025",45,0.27x,"#
CEX
+6"
1kx,2,"Seismic
$7.00M
06 Mar 2025",94,1.15x,"#
Developer Tools
+6"
Maven 11 Capital,2,"August
$10.00M
06 Mar 2025",80,301.58x,"#
Developer Tools
+6"
Wintermute,2,"DoubleZero
$28.00M
06 Mar 2025",77,0.99x,"#
DEX
+6"
Boost VC,2,"Sati
$600.00K
05 Mar 2025",39,1139.70x,"#
NFT elements
+6"
Ripple,2,"NCA (National Cryptocurrency Association)
$50.00M
05 Mar 2025",21,2.32x,"#
CEX
+6"
Mask Network,2,"Coral Finance
$3.00M
04 Mar 2025",72,0.66x,"#
Data Service
+6"
KuCoin Ventures,2,"Coral Finance
$3.00M
04 Mar 2025",54,0.42x,"#
Artificial Intell...
+6"
IOSG Ventures,2,"FanTV
$5.50M
28 Feb 2025",122,0.94x,"#
Artificial Intell...
+6"
Hack VC,2,"Acki Nacki
$6.00M
28 Feb 2025",96,2.75x,"#
Layer 1 (L1)
+6"
Blockchain.com,2,"Acki Nacki
$6.00M
28 Feb 2025",35,9.10x,"#
Decentralized App...
+6"
a16z speedrun,2,"Boinkers
$8.00M
28 Feb 2025",2,,"#
Play to Earn (P2E...
+1"
Ethereum Foundati...,2,"Orochi Network
N/A
27 Feb 2025",19,1.08x,"#
Account Abstracti...
+6"
BNB Chain,2,"Orochi Network
N/A
27 Feb 2025",9,0.04x,"#
Staking
+6"
Web3 Foundation,2,"Orochi Network
N/A
27 Feb 2025",7,,"#
zk-Proofs (ZKP)
+6"
MEXC,2,"Ethena USDe
$20.00M
26 Feb 2025",67,0.13x,"#
DEX
+6"
Nascent,2,"Ligero
$4.00M
26 Feb 2025",64,2.36x,"#
Developer Tools
+6"
MEXC Ventures,2,"Ethena
$16.00M
26 Feb 2025",9,0.08x,"#
Restaking
+6"
ParaFi Capital,2,"Bitwise
$70.00M
25 Feb 2025",107,3.75x,"#
RWA
+6"
Highland Capital ...,2,"Bitwise
$70.00M
25 Feb 2025",5,,"#
Data Service
+5"
Shima Capital,2,"IMUA (Prev. Exocore)
N/A
24 Feb 2025",262,0.38x,"#
Play to Earn (P2E...
+6"
Draper Dragon,2,"IMUA (Prev. Exocore)
$5.00M
24 Feb 2025",57,0.37x,"#
Bitcoin Scaling
+6"
SamsungNext,2,"Primus Labs (prev. PADO)
$6.50M
21 Feb 2025",61,10.08x,"#
Artificial Intell...
+6"
Alchemy,2,"Primus Labs (prev. PADO)
$6.50M
21 Feb 2025",53,0.84x,"#
API
+6"
Avalanche Foundat...,2,"KnidosLabs
N/A
21 Feb 2025",21,0.09x,"#
NFT elements
+6"
CMS Holdings,2,"Hedgemony
N/A
18 Feb 2025",189,7.14x,"#
Bitcoin Scaling
+6"
GV Google Venture...,2,"Blockaid
$50.00M
18 Feb 2025",19,0.48x,"#
Payments
+6"
eGirl Capital,2,"Cygnus Finance
$20.00M
18 Feb 2025",14,,"#
Governance
+6"
Solana Ventures,2,"BitRobot
$6.00M
14 Feb 2025",140,0.53x,"#
DePIN
+6"
Delphi Ventures,1,"Ambient
$7.20M
31 Mar 2025",160,161.10x,"#
Artificial Intell...
+6"
a16z CSX,1,"Mahojin
N/A
31 Mar 2025",34,,"#
Artificial Intell...
+6"
Polychain Capital,1,"Warlock
$8.00M
27 Mar 2025",206,15.42x,"#
Stablecoin Protoc...
+6"
Sandeep Nailwal,1,"Capx AI
$3.14M
26 Mar 2025",129,0.37x,"#
Artificial Intell...
+6"
HashKey Capital,1,"Spot Zero
$4.50M
25 Mar 2025",260,1.71x,"#
Perpetuals
+6"
The Spartan Group,1,"Spot Zero
$4.50M
25 Mar 2025",223,7.90x,"#
Developer Tools
+6"
Galaxy,1,"Chronicle
$12.00M
25 Mar 2025",127,445.13x,"#
Payments
+6"
Stani Kulechov,1,"Chronicle
$12.00M
25 Mar 2025",63,2.79x,"#
NFT elements
+6"
Coinbase Ventures,1,"Rain
$24.50M
24 Mar 2025",423,3.16x,"#
Payments
+6"
Andreessen Horowi...,1,"Walrus
$140.00M
20 Mar 2025",174,333.36x,"#
Developer Tools
+6"
VanEck,1,"Manifest Finance
$2.50M
20 Mar 2025",12,1.45x,"#
Data Service
+6"
DragonFly Capital,1,"Hibachi
$5.00M
19 Mar 2025",165,5.92x,"#
Developer Tools
+6"
Balaji Srinivasan,1,"Pluralis Research
$7.60M
19 Mar 2025",146,3.48x,"#
Artificial Intell...
+6"
Paradigm,1,"Privy
$15.00M
19 Mar 2025",100,640.55x,"#
Developer Tools
+6"
Sequoia Capital,1,"Privy
$15.00M
19 Mar 2025",73,0.97x,"#
API
+6"
YZi Labs (Prev. B...,1,"Opinion Labs
$5.00M
18 Mar 2025",260,3.05x,"#
DEX
+6"
Santiago R. Santo...,1,"Yeet
$7.75M
18 Mar 2025",75,1.35x,"#
DePIN
+6"
Bryan Pellegrino,1,"Yeet
$7.75M
18 Mar 2025",13,0.37x,"#
Card Games
+6"
ConsenSys,1,"Mesh
$82.00M
11 Mar 2025",68,2.91x,"#
LSDfi
+6"
Multicoin Capital,1,"DoubleZero
$28.00M
06 Mar 2025",147,165.85x,"#
DePIN
+6"
BlackRock,1,"Flowdesk
$52.00M
04 Mar 2025",6,1.45x,"#
Payments
+4"
Raj Gokal,1,"Raise
$63.00M
26 Feb 2025",25,0.08x,"#
Payments
+6"
Pantera Capital,1,"Ethena
$100.00M
24 Feb 2025",214,102.04x,"#
LSDfi
+6"
Paul Veradittakit,1,"fomo
$2.00M
18 Feb 2025",13,0.01x,"#
DEX
+6"
Vitalik Buterin,1,"Etherealize
N/A
23 Jan 2025",11,,"#
Layer 2 (L2)
+6"
Circle,1,"Hashnote
N/A
21 Jan 2025",99,4.28x,"#
Lending
+6"
Blockchain Capita...,1,"Merit Systems
$10.00M
16 Jan 2025",127,8.01x,"#
Restaking
+6"
Alex Svanevik,1,"Uranium Digital
$1.70M
12 Dec 2024",21,0.02x,"#
NFT elements
+6"
Y Combinator,1,"Notabene
$14.50M
12 Nov 2024",67,0.83x,"#
Payments
+6"
Arthur Hayes,1,"Cytonic
$8.30M
07 Nov 2024",18,0.28x,"#
NFT elements
+6"
Quantstamp,2,"Bloctopus
$1.00M
01 Apr 2025",31,0.39x,"#
Security
+6"
Amber Group,2,"Ambient
$7.20M
31 Mar 2025",93,0.77x,"#
Artificial Intell...
+6"
Greenfield Capita...,2,"Warlock
$8.00M
27 Mar 2025",39,0.37x,"#
Quest Platform
+6"
Tether,2,"Be Water
$10.80M
27 Mar 2025",14,0.26x,"#
Payments
+6"
P2 Ventures (Poly...,2,"Capx AI
$3.14M
26 Mar 2025",147,0.28x,"#
Artificial Intell...
+6"
MH Ventures,2,"Capx AI
$3.14M
26 Mar 2025",127,0.85x,"#
Artificial Intell...
+6"
Fenbushi Capital,2,"Chronicle
$12.00M
25 Mar 2025",150,0.42x,"#
Developer Tools
+6"
Robot Ventures,2,"Chronicle
$12.00M
25 Mar 2025",137,0.61x,"#
DEX
+6"
IVC,2,"Spot Zero
$4.50M
25 Mar 2025",113,0.44x,"#
LSDfi
+6"
6th Man Ventures,2,"Chronicle
$12.00M
25 Mar 2025",76,1.26x,"#
Developer Tools
+6"
Immutable,2,"Immortal Rising 2
$3.00M
25 Mar 2025",10,0.72x,"#
NFT elements
+6"
Hypersphere Ventu...,2,"Fragmetric
$5.00M
24 Mar 2025",94,0.96x,"#
Artificial Intell...
+6"
Lightspeed Ventur...,2,"Rain
$24.50M
24 Mar 2025",63,3.68x,"#
Data Service
+6"
RockawayX,2,"Fragmetric
$5.00M
24 Mar 2025",47,74.23x,"#
DePIN
+6"
Alliance DAO,2,"Guess.best
$350.00K
21 Mar 2025",72,0.54x,"#
Bitcoin Scaling
+6"
Framework Venture...,2,"Uranium Digital
$6.10M
20 Mar 2025",123,9.12x,"#
DePIN
+6"
Mirana Ventures,2,"Uranium Digital
$6.10M
20 Mar 2025",109,1.08x,"#
Layer 2 (L2)
+6"
Electric Capital,2,"Walrus
$140.00M
20 Mar 2025",91,442.05x,"#
DEX
+6"
Standard Crypto,2,"Walrus
$140.00M
20 Mar 2025",26,33.40x,"#
Social Network
+6"
Stellar Developme...,2,"COCA
N/A
20 Mar 2025",15,,"#
Payments
+6"
CoinFund,2,"Pluralis Research
$7.60M
19 Mar 2025",110,25.42x,"#
Artificial Intell...
+6"
Variant,2,"Pluralis Research
$7.60M
19 Mar 2025",59,69.34x,"#
Artificial Intell...
+6"
Union Square Vent...,2,"Pluralis Research
$7.60M
19 Mar 2025",46,829.54x,"#
Developer Tools
+6"
Ribbit Capital,2,"Privy
$15.00M
19 Mar 2025",42,1.45x,"#
Payments
+6"
Animoca Brands,2,"Opinion Labs
$5.00M
18 Mar 2025",433,1.40x,"#
NFT elements
+6"
CMT Digital,2,"Daisy
$3.90M
18 Mar 2025",118,408.94x,"#
LSDfi
+6"
Paul Taylor,2,"Level (Peregrine Exploration)
$2.60M
18 Mar 2025",41,0.54x,"#
Restaking
+6"
Digital Currency ...,2,"Slingshot
$16.00M
17 Mar 2025",238,170.95x,"#
Artificial Intell...
+6"
Sfermion,2,"Slingshot
$16.00M
17 Mar 2025",95,0.44x,"#
NFT elements
+6"
KuCoin Labs,2,"Domin Network
N/A
17 Mar 2025",73,0.13x,"#
NFT elements
+6"
OKX Ventures,2,"PlaysOut
$7.00M
14 Mar 2025",211,0.42x,"#
Yield Farming
+6"
Kenetic Capital,2,"PlaysOut
$7.00M
14 Mar 2025",136,99.05x,"#
Data Service
+6"
Accel,2,"RedotPay
$40.00M
14 Mar 2025",35,31.92x,"#
Mobile
+6"
HongShan (ex-Sequ...,2,"RedotPay
$40.00M
14 Mar 2025",21,1.14x,"#
Payments
+6"
GSR,2,"M10
$3.00M
12 Mar 2025",176,0.32x,"#
DePIN
+6"
Jane Street Capit...,2,"Vest Exchange
$5.00M
12 Mar 2025",20,1.01x,"#
DEX
+6"
MGX,2,"Binance
$2.00B
12 Mar 2025",1,,"#
CEX"
Arrington XRP Cap...,2,"Axelar
$30.00M
11 Mar 2025",140,1.08x,"#
Data Service
+6"
Republic,2,"Sogni AI
$2.00M
11 Mar 2025",74,3.41x,"#
NFT elements
+6"
Distributed Globa...,2,"Axelar
$30.00M
11 Mar 2025",60,32.56x,"#
Cross-Chain
+6"
